CPS 352,"Concepts and Implementation of Programming Languages","Study of programming language concepts through the implementation of interpreters and assessment of the conceptual differences in the resulting languages. Concepts covered include syntax and semantics, regular and context-free grammars, parsing, binding, scope, parameter passing, lazy evaluation, types, currying, and continuations. A comparative survey of the imperative, functional, logical, and object-oriented paradigms of programming is presented.",CPS 350
CPS 353,"Numerical Methods I","Study of the algorithms of numerical mathematics with emphasis on interpolation, the solution of nonlinear equations, and linear systems of equations including matrix methods; analysis of errors associated with the algorithms.",CPS 132,CPS 150,MTH 169
CPS 350,"Data Structures & Algorithms","Dynamic nonlinear data structures including trees, binary trees, search trees, balanced search trees, priority queues, and graphs, with an emphasis on their implementation, uses, and associated algorithms. Analysis of the computational complexity of algorithms related to these structures.",CPS 151
CPS 356,"Operating Systems","Introduces the theoretical and practical concepts underlying an operating system's structure and operation. Topics include process and thread creation and management, scheduling, concurrent, multi-threaded programming and synchronization, deadlock, memory management, virtual memory, and computer security.",CPS 250,ECE 314,CPS 350
CPS 341,"Discrete Structures","Propositional logic, Boolean algebra, predicate logic, logical deductions, proof techniques, sets, combinatorics, recurrences, functions, relations, discrete structures such as graphs, digraphs, and associated algorithms.",CPS 150
CPS 346,"Operating Systems I","Semaphores, conditions, monitors, and kernels. Concurrent programming, interrupts, memory, and process management. Design and implementation of multithreaded and distributed system components using concurrent languages.",CPS 250,CPS 350
CPS 343,"Comparative Languages","Language design issues, formal syntax specification, data types and storage methods, activation records and procedural object oriented, functional, and logic programming paradigms.",CPS 350
CPS 387,"Computer System Design I","Study of the elements of computer design. Design of combinatorial and sequential logic circuits using current integrated circuit devices. Discussion of encoders, decoders, registers, counters, etc. as applied to design and use of control, arithmetic, logic, and storage units. Instruction set, addressing modes and CPU design. Laboratory experiments with these devices.",CPS 250,CPS 341
CPS 430,"Database Management Systems","Physical and logical organization of databases: the entity-relationship model; relational database model; the data definition and data manipulation language of a commercial database management system; integrity constraints; conceptual database design.",CPS 350
CPS 437,"System Architectures & Networking","Issues and techniques used in the physical design of computer-based information systems. Basic operating systems, hardware architecture and networking prinicples. Intended for students majoring in MIS; not open to students majoring in CPS, CIS, or PCS.",MIS 380,MIS 385
CPS 433,"Cyber Forensics","Preserving, recovering, and analyzing digital evidence found in physical and virtual worlds. Topics include data and information retrieval; computer/media forensic analysis, techniques, and tools; and basic criminal law concepts.",CPS 356
CPS 434,"Big Data and Cloud Computing","Focuses on technologies to make intelligent decisions for scientific and business applications. Topics include semantic web, knowledge representation languages for expressing metadata, machine learning, data visualization, data integration, and predictive models.",CPS 350
CPS 432,"Database Management Systems II","Study of query execution and optimization, transaction management, concurrency control, recovery and security techniques. Advanced data models and emerging trends in database systems, like object oriented database systems, distributed database systems, the client-server architecture, multidatabase and heterogeneous systems. Other current database topics and emerging technologies will be discussed.",CPS 430
CPS 424,"Discrete Event Simulation Techniques","Design and use of simulation models; study and use of special-purpose simulation languages such as GPSS and GASP IV, SIMSCRIPT II.5. Applications.",CPS 151
CPS 422,"Software Project Management","Introduction to software project management. Topics include process models for software development, project planning techniques, estimation techniques, measuring and controlling work products and processes, managing project risk, teams and communication, and organizational issues.",CPS 310
CPS 420,"Software Engineering","Provides an overview of the software engineering discipline. Topics include software processes, requirements engineering, system modeling, architectural design, software testing, dependability and security, software reuse, distributed software engineering, project planning, quality management, configuration management, and process improvement.",CPS 350
CPS 415,"Software Testing and Security Analysis","Detailed examination of the software testing and security analysis process. Topics include testing methodologies, code analysis techniques, and secure programing principles and practices.",CPS 350
CPS 410,"User Interface Design and Development","Addresses the practical problems of designing interfaces for modern software as well as other interactive media. Topics include interaction framework and styles, design principles, design models, new interactive technologies, usability testing and facets of interaction. Group activities and project work is an integral part of this course.",CPS 350
CPS 250,"Computer Organization and Architecture","Machine and assembly language instructions, and writing assembly programs. Design of basic logic circuits needed in constructing a computer. Design of circuits for information encoding, arithmetic units, and transferring and storing information. Data path and control unit for a simple processor. Multiprocessing and alternative parallel systems.",CPS 151
CPS 242,"Web Application Development","Web application development using the state-of-the-art environments such as markup languages, scripting languages, dynamic web pages, server side technologies, and database access.",CPS 151
CPS 309,"Topics in Computer Science","Lectures or laboratory work in areas of current interest. May be taken more than once. Does not count as upper level credit for majors/minors."
CPS 312,"Systems Design","Software design process; developing structured design (e.g., structure charts) from data flow approach using coupling, cohesion, and other design guidelines; fine-tuning object-oriented analysis model to design using design patterns, and implementation.",CPS 310
CPS 310,"Systems Analysis","Methodologies for developing software, software development life cycles, data flow approach for system development, data dictionary, process specification, input/output design, E-R diagrams, normalization, and introduction to object-oriented analysis.",CPS 151
CPS 595,"Software Engineering Project I","First of a two-course project sequence. Students, either individually or in teams, must propose a project, conduct background research, justify the adequacy of the work for a graduate project, complete analysis and design using appropriate methodologies and CASE tools, and write preliminary coding. Students are expected to write code and minimize the usage of visual or other development environments. A minimum of three class presentations is expected for project proposal, progress, and final analysis/design.",CPS 510,CPS 530
CPS 592,"Special Topics","Lectures and/or laboratory experience in some areas determined by the department."
CPS 591,"Special Research Problems","Individual readings and research in a specialized area. May be taken for at most six semester hours."
