DPT 973L,"Skills Laboratory: Neurology I","This course is designed to assist the student with the development of clinical skills and reasoning essential for the assessment and treatment of patients with neurological pathologies. Therapeutic procedures and protocols appropriate for this patient population will be taught with special considerations regarding patient safety."
DPT 972L,"Skills Laboratory: General Medicine II","Designed to facilitate skill acquisition, along with clinical reasoning and decision making as it relates to the physical therapy care and management of the patient with acute medical and postoperative pathology. Students expand skills related to physical examination tests and measure as related to medical diagnostics and medical or health care referral. Advanced therapeutic interventions including electrotherapy modalities appropriate for this population is addressed.",DPT 962,DPT 982
DPT 971L,"Skills Laboratory: General Medicine I","Designed to facilitate skill acquistion, along with clinical reasoning and decision making as it relates to the physical therapy care and management of the patient with acute medical and postoperative pathology. Students learn physical examination tests and measure, along with therapeutic interventions including electrotherapy modalities appropriate for this population.",DPT 961,DPT 981
DPT 977L,"Skills Laboratory: Advanced Physical Therapy I","This course is designed to facilitate skill acquisition along with clinical reasoning and decision making as it relates to the physical therapy care and management of various advanced topics including cardiopulmonary rehabilitation, women's health issues, manual therapy stategies, electrotherapeutics as well as orthopedic, neurological, and pediatric therapeutic interventions."
DPT 976L,"Skills Laboratory: Orthopedics II","This course is designed to facilitate skill acquisition along with clinical reasoning and decision making as it relates to the physical therapy care and management of orthopedic patients with complex musculoskeletal pathology and dysfunction. Students learn physical examination tests and measures along with therapeutic interventions including electrotherapy modalities appropriate for this population."
DPT 975L,"Skills Laboratory: Orthopedics I","Course description is currently unavailable. This laboratory course is designed to help the student develop clinical skills and reasoning essential to the examination, evaluation, and physical therapy intervention of orthopedic patients. Emphasis is focused on clinical reasoning and clinical skill development as they apply to common extremity and spine pathologies. Skills include: examination techniques, use of modalities, therapedtic exercise, soft tissue techniques, mechanical traction, and articular mobilization.",DPT 965,DPT 985
DPT 974L,"Skills Laboratory: Neurology II","Designed to facilitate skill acquisition along with clinical reasoning and decision making as it relates to the physical therapy care and management of the pediatric patient. Students learn physical examination tests and measures along with therapeutic interventions appropriate for this population. Therapeutic procedures and protocols appropriate for these patients and taught with special consideration for patient/family needs and education.",DPT 964,DPT 984
DPT 810,"Professional Seminar I: Health Care","Provides a comparative overview of health care systems and the role of physical therapy. Students learn about the APTA and the development of professional behaviors as they work on personal strategies for integration into the profession. Learning styles are presented and discussed within the context of clinical practice and professional development."
DPT 806,"Functional Physiology II: Exercise Physiology","Advanced concepts of applied physiology and exercise physiology concepts in musculoskeletal, cardiovascular, and pulmonary function are studied."
DPT 805,"Functional Physiology I: Introduction to Pathology","A small group, problem based learning course which focuses on the study of human physiological function of the major organ systems including clinical manifestations associated with pathophysiological conditions. Introduction of applied physiology and exercise physiology concepts in musculoskeletal, cardiovascular, and pulmonary function. Foundations of pharmacokinetics and pharmacodynamics are also studied in this course."
DPT 842,"Clincal Science III: Modalities I","Comprehensive course including lab principles and practice of thermotherapy and cryotherapy procedures. Problem-solving approach to clinical decision making is integrated into the application of hydrotherapy, aquatic therapy, superficial and deep heat modalities, and cold modalities."
DPT 843,"Clinical Science IV: Modalities II","Comprehensive course including lab principles and practice of physical therapy modalities with focus on electrotherapy procedures. Problem-solving approach to clinical decision making is integrated into the application of modalities, including electrotherapy procedures in patient populations across the life span."
DPT 840,"Clinical Science I: Tissue Injury & Repair","This course presents basic principles of tissue injury, inflammation, healing, repair, and regeneration as related to physical therapy rehabilitation. Medical and specific surgical interventions are identified to provide the clinical presentation and intervention strategies for given dysfunctions."
