EDA 760,"Seminar: District Level Management","This course is intended to provide the participants with the knowledge and understanding of practical issues necessary for school superintendents to successfully manage a school district. These issues include matters relevant to managing a school district as an organization, managing the various operational components of the district, and managing district resources."
EDA 761,"Seminar: District Level Leadership","This course addresses current topics related to district level issues including curriculum and instruction leadership (planning, goals, alignment, staff development), technology, accreditation, staff-personnel (hiring and supervision of district and building level administrators), community partnerships, capacity building, contract issues, ethics, and legal issues (focusing on special education) appropriate to each section along with other related areas associated with successful instructional leadership at the district level. Emphasis is placed on meeting the needs of each group of students in the district and the relationships that must be developed in order to achieve these ends."
EDA 762,"Seminar: Policy, Politics & Decision Making","The curriculum is both explanatory and exploratory and includes the following general topics: recommending, enforcing, and evaluating school district policy; political dimensions of district administration in the context of representative democracy; and, the application of problem solving and decision making paradigms in district administration. Focused attention is given to local stakeholder involvement in policy development and problem solving."
EDA 733,"Internship III","This internship provides significant opportunities for candidates to synthesize and apply the knowledge and practice and develop the skills identified in the ELCC standards through, substantial, sustained, standards-based work in real setting, planned and guided cooperatively by the institution and school district personnel. This course is intended to provide the participants with an opportunity to relate the coursework, research, simulation, and independent study in which they have engaged in real problems encountered in administration, supervision and instructional programs primarily in a district level/central office setting."
EDA 718,"Superintendency","This course addresses the duties and responsibilities of central office administrators, especially those of the superintendent. Emphasis is placed on board of education relations, communication, and an analysis of the political structures within which the superintendent operates."
EDA 759,"Law of Special Education","A review of pertinent legislation and litigation and litigation impacting on the rights of parents, students, and teachers involved in the process of providing a free appropriate public education for children with disabilities. Emphasis is placed on how teachers can, through an understanding of the law, facilitate active parent participation in the developmental progress of students. Teachers' specific responsibilities are described in relation to current requirements for development of appropriate educational programs."
EDA 712,"Program & Staff Development","This course is designed to strengthen student competence with program development and evaluation processes. Major emphasis is focused on staff development planning, program implementation, and program assessment."
EDA 710,"Curriculum Evaluation & Instruction","This course is designed to refine participant understanding of the realms of meaning, characteristics of effective programs, research findings on effective instruction, and curriculum management."
EDA 711,"Curriculum Development & Leadership","The major focus of the course will be how an educational leader at the district level designs and implements curriculum based upon philosophical, psychological, and historical underpinnings of curriculum theory. A recurring focus in the course is the relationship of practice and scholarship and practice and theory as the educational leader creates a learning community."
EDA 855,"Legal Issues in School Leadership","This course addresses the statutes and judicial decisions which relate to schools and the responsibilities of boards of education, teachers, and administrators. Emphasis is placed on understanding the legal framework as it relates to providing quality education."
EDA 859,"Law of Special Education","A review of pertinent legislation and litigation and litigation impacting on the rights of parents, students, and teachers involved in the process of providing a free appropriate public education for children with disabilities. Emphasis is placed on how teachers can, through an understanding of the law, facilitate active parent participation in the developmental progress of students. Teachers' specific responsibilities are described in relation to current requirements for development of appropriate educational programs."
EDA 851,"Research","This course is designed to provide practical application and issues in research as they relate to the educational leader. The objective of the course is the development of a proposal to conduct a research project which the student will finish prior to completion of the Educational Specialist degree program."
