EDC 402,"Methods-Residence Hall Assistants","For undergrad students wishing to become Residence Hall Assistants."
EDC 700,"Scholarly Project","To familiarize the student with the scientific literature of the counseling profession in a more focused way and utilize their research of the literature in one of three specific alternatives: (1) Thesis - literature search and inquiry; (2) Project of Excellence - literature search and counseling competence; (3) Transformative project - literature search and social action application."
EDC 712,"Internship in School Psychology","Semester III of a nine month, 1200-hour field experience under the direct supervision of certified school psychologists as well as the supervision of university faculty."
EDC 711,"Internship in School Psychology","Semester II of a nine month, 1200-hour field experience under the direct supervision of certified school psychologists as well as the supervision of university faculty."
EDC 710,"Internship in Psychology","Semester I of a nine month, 1200-hour field experience under the direct supervision of certified school psychologists as well as the supervision of university faculty."
EDC 529L,"Career Counseling Lab","Course content focuses on theories, strategies, information, assessments, and resources to be used in the career counseling of children and youth in the K-12 setting."
EDC 800,"Thesis","This 2 semester course series provides support to students who are completing their school psychology thesis."
EDC 548L,"Counseling Children & Adolescents Laboratory","Laboratory."
EDC 585,"Practicum in School Counseling","Supervised practice and observation in group and individual counseling techniques.",EDC 522,EDC 545,EDC 548,EDC 583
EDC 584,"Practicum in Clinical Mental Health Counseling","Supervised practice and observation in group and individual counseling techniques.",EDC 521,EDC 529,EDC 531,EDC 535,EDC 545,EDC 575,EDC 583,EDC 623,EDC 631
EDC 583,"Theories & Techniques of Group Counseling","Course content focuses on the stages, theories, strategies, and applications of the group counseling process.",EDC 543
EDC 593,"Early Childhood Development & Assessment","The purpose of this course is to provide graduate students in school psychology with knowledge in developmental norms for students in early childhood and implications for assessment and instruction. Students will review several early childhood assessment instruments and methodologies and understand how to use them as appropriate in a variety of settings in accordance with legal guidelines and best practice."
EDC 599,"Internship in School Counseling","Extensive directed experience in professional functions within cooperating schools and community organizations. Must be taken three times.",EDC 547,EDC 585
EDC 598,"Internship in Clinical Mental Health Counseling","Directed experience in professional functions within cooperating social and clinical agencies in the community. Must be taken three times.",EDC 584
EDC 564,"Practicum in Higher Education","Supervised experience in higher education administration with faculty and on-site supervisor. Topics and requirements will vary with experience and placement area. Designed for students working in full-time positions in higher education settings."
EDC 563,"Law & Ethics in Higher Education","Through study and reflection in the fields of law and ethics, students are asked to consider the kinds of administrative actions that lead people and institutions into court and to develop alternative approaches and attitudes."
EDC 562,"Learning Design","Theories and practice of group interventions in student personnel settings; conceptualization and assessment of interventions appropriate to human and organizational student personnel settings. Course includes development of intervention skills."
EDC 561,"Finance in Higher Education","Study and analysis of the planning, methodologies, financial strategies, and evaluative systems for university systems and subsystems."
EDC 560,"Leadership in College & University Environment","Study of the concepts, literature, and research in leadership and their relationship to the development and maintenance of the organization. Higher education and college student personnel examples will be emphasized."
EDC 569,"Scholarly Project in CSP/HE","A culminating course in which students in their final term integrate, synthesize, and apply the academic work and professional experiences gathered during their program. Students will complete a project designed with the assistance of faculty and campus administrators and present it along with their peers in a supportive learning community. Taken toward the end of the program.",EDC 568
EDC 568,"Research & Evaluation in Human Services","This course provides professionals in the public schools, higher education institutions, and community agencies with the basic quantitative and qualitative tools of inquiry and when to use them to answer research questions. Emphasis also includes critiquing research studies and applying research results to practice. College Student Personnel and Higher Education Administration students must have 21 Hours."
EDC 566,"Case Studies in Higher Education","Case studies in higher education."
EDC 565,"Educational Structures in Post Secondary Education","A study of federal, state, and local public policy and its impact on public and private higher education. Specific attention will be paid to financial aid, admission, and accreditation issues."
EDC 575,"Counseling Diverse Populations","Designed to develop sensitivity and awareness in human diversity; introduce multicultural concepts, competencies, and research; and provide an experiential component."
EDC 574,"Independent Studies in Counseling","Independent study."
EDC 573,"Orientation to the Educational Process & Technology","Directed observation of and participation in the normal school process under supervision within the school. Required of all school psychology candidates who do not have a teaching certificate."
EDC 572,"Role & Function of the School Psychologist","Topics of significance in the profession of school psychology, with emphasis on history and foundations of school psychology, legal and ethical issues, professional issues and standards, roles and functions of the school psychologist. Students are expected to develop knowledge and skills in using APA format in the context of a literature review."
EDC 571,"Biological Bases of Behavior","Survey of three biological bases of behavior, including neuropsychology, genetics, and psycho-pharmacology."
EDC 542,"Crisis Intervention & Prevention in Educational Settings","This course will review crisis counseling theory and basic crisis prevention and response skills. The concept of crisis will be considered broadly. The focus will be on the promotion of health and mental health in schools and the enhancement of student competence following a crisis event. The course will explore specific examples of techniques and programs designed to intervene before, during and after a crisis event. Also covered will be policy questions, evaluation issues, and systems change. Specific attention will be given to concepts of stress, coping, and resiliency."
