EDT 550L,"Integrated Language Arts Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching integrated language arts to students in grades seven to 12."
EDT 551L,"Integrated Social Studies Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching integrated social studies to students in grades seven to 12."
EDT 552L,"Foreign Language Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching foreign language to students in grades seven to 12."
EDT 553L,"Integrated Mathematics Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching mathematics to students in grades seven to 12."
EDT 554L,"Science Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching science to students in grades seven to 12."
EDT 425L,"Middle School Principles and Practices Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regards to the study of organization (school structure), philosophy and curriculum of middle level education (ages nine to 14), grades four to nine. It is designed to support the course study of the theoretical knowledge base about middle level (school) education. Issues and concerns, current trends and the essential elements relating to middle level education will be observed and studied throughout the semester."
EDT 419L,"Kindergarten-Primary Curriculum and Instruction Laboratory","This 20 contact hour course in a kindergarten or primary grades classroom supports the material covered in EDT 419.",EDT 419
EDT 110L,"The Profession of Teaching Laboratory","This 20 hour field experience is designed to accompany the EDT 110 course. Both the course and field experience are designed to study the principal components of effective teaching that facilitate the learning of all students. Students will explore and demonstrate knowledge of current educational issues, the Ohio Standards for the Teaching Profession and other professional standards. Students will provide evidence of the development of professional dispositions and their understanding of the importance of developing a community of learners that respects and appreciates diversity. Students will use their lab experience as the basis for providing evidence of critical reflection on the teaching process as it relates to incorporating social justice and the Marianist characteristics of education into their understanding about the profession.",EDT 110
EDT 561EL,"Supporting Quality Curriculum and Instruction in Early Care and Education Laboratory","This course provides opportunities for students to use research to identify and support quality early childhood curriculum, instruction and assessment."
EDT 415L,"Early Childhood Primary (K-3) Field Internship","This ECE field experience is the first semester of the senior level internship, which provides the candidate the opportunity for practice and reflection in K-3 settings."
GEO 204,"Geology for Teachers","Introduction for preservice teachers to the Earth system and the processes that operate in the atmosphere, hydrosphere, biosphere, and solid Earth. Emphasis is on understanding how interactions among these fundamental Earth systems maintain our livable planet. Students will explore the Earth system through best practices in teaching and inquiry, and through field trips. For ECE, EMS, and EMM majors only. Students completing this course may not take SCI 210.",SCI 210,EDT 110,SCI 190
EDT 573,"Collaborating with Families, Professionals and Agencies","This course examines theories and techniques to assist teachers in working with professionals, families and agency personnel to provide an appropriate educational program, improve home-school relationships and develop family-professional partnerships. Historical and legal perspectives of parental influence on special education services are examined."
EDT 574,"Behavior Management","This course examines the principles and methods of observing, recording, assessing and managing human behavior with emphasis on students with disabilities.",EDT 572,EDT 572L
EDT 571,"Language Development and Emergent Literacy","This course is the study of oral language and literacy development in children, with implications for all learners, including children with special needs."
EDT 572,"Introduction to Education of Learners with Mild/Moderate Needs","This course is the study of the role and function of the intervention specialist. This course presents issues of definition, identification and placement procedures. The candidate will acquire knowledge of major researchers and history, variations in belief, traditions and values across cultures and current practices in the field."
EDT 570,"Educating Diverse Student Populations in Inclusive Settings","This course is the study of the characteristics, legal aspects and educational needs of students with challenges in learning. The role of the general educator in making curricular modifications and accommodations, adapting instruction and collaborating with other educators to facilitate learning in the general classroom for these students is examined.",EDT 507,EDT 507L
EDT 579,"Instructional Strategies: Mild/Moderate","This course examines the strategies, materials and evaluation techniques for teaching students with mild/moderate learning needs.",EDT 572,EDT 572L,EDT 573,EDT 574,EDT 575,EDT 575L
EDT 578,"Application of Computers/Technology in Special Education","This course is the study of basic computer applications in special education, including instructional programs, software evaluation, telecommunications, multimedia and hypermedia, assistive technology, augmentative devices, resources and legal/ethical issues."
EDT 575,"Assessment: Mild/Moderate","This course is the study of the multidisciplinary use of assessment instruments and techniques in the diagnosis, planning and evaluation of the special needs learner and the development of individual education programs.",EDT 572,EDT 572L,EDT 573,EDT 574
EDT 576,"Curriculum: Mild/Moderate","This course is the study of curriculum development considering the motor, cognitive, academic, social, language, affective, functional, life skills and individual programming of students with mild/moderate disabilities.",EDT 572,EDT 572L,EDT 573,EDT 574,EDT 575,EDT 575L
EDT 582,"Dyslexia Methods Practicum","This is the second course of a two-course practicum sequence for the dyslexia methods certificate. This course will take place in a local school and will involve one-to-one, supervised tutoring of a student with reading difficulties using a multisensory instructional approach.",EDT 567
EDT 589,"Student Teaching: Mild/Moderate","Supervised and evaluated teaching with students demonstrating mild/moderate learning needs. The candidate will demonstrate the knowledge, skills and dispositions of an intervention specialist. Attendance at seminars may be required.",EDT 575,EDT 575L,EDT 576,EDT 576L,EDT 579,EDT 579L
EDT 587,"Student Teaching: Mild/Moderate","Supervised and evaluated teaching with students demonstrating mild/moderate learning needs. The candidate will demonstrate the knowledge, skills and dispositions of an intervention specialist. Attendance at seminars may be required.",EDT 575,EDT 575L,EDT 576,EDT 576L,EDT 579,EDT 579L
EDT 551,"Integrated Social Studies Methods for Adolescence to Young Adult","This course focuses on planning, diagnosis, instructional methods, materials, assessment and evaluation techniques for teaching all levels of integrated social studies to students in grades seven to 12 with varied needs and abilities. Topics include: understanding Ohio's academic content standards for grades seven to 12, applications and instructional techniques that address the Ohio achievement and competency tests, various resources, technologies, hands-on activities, interdisciplinary connections, various grouping techniques, best practices and current research. This course is for initial licensure candidates.",EDT 509,EDT 509L
EDT 552,"Foreign Language Methods for Adolescence to Young Adult","This course focuses on planning, diagnosis, instructional methods, materials, assessment and evaluation techniques for teaching all levels of foreign language to students in grades seven to 12 with varied needs and abilities. Topics include: understanding Ohio's academic content standards for grades seven to 12, applications and instructional techniques that address the Ohio achievement and competency tests, various resources, technologies, hands-on activities and other visuals, interdisciplinary connections, various grouping techniques, best practices and current research. This course is for initial licensure candidates.",EDT 509,EDT 509L
