HSS 275,"History of Physical Education & Sport","Study of the historical development of physical education, sport, and associated disciplines as they relate to significant people and events in the history of Western civilization.",HST 103
HSS 285,"Sport Management Field Experience","This experience is done after completion of HSS 255. 150 clock hours need to be completed for the 3 semester hour experience.",HSS 255
HSS 295,"Nutrition & Health","Study of the nutrient needs of humans and of their choices as modified by socioeconomic, cultural, and life cycle factors. Sophomore standing."
HSS 210,"Introductory Foods","Study of scientific principles applied to the processing and preparation of food to maintain nutritional quality and aesthetic value.",CHM 123,CHM 123L
HSS 220,"Adapted Physical Activity","Course to prepare prospective teachers to adapt a physical education program so all children and youth can successfully participate in activity programs. Study of the atypical child in order to organize and administer a program which will meet individual needs."
HSS 250,"Principles of Sport Management","Examination of the nature of management from theoretical and practical perspectives in a variety of sport settings. Focus on managerial functions and skills.",HSS 111
HSS 255,"Sport Management Practicum","The sport management practicum and seminar is designed for students to gain insight into a wide array of field experiences within this discipline. Students are given choices of field work within a variety of sport and recreation settings. In addition, a weekly seminar is required as part of the practicum experience."
HSS 253,"Sport Facility Operations","The processes of planning, constructing, equipping, maintaining, and operating sport facilities are investigated in this course."
HSS 307,"Human Physiology","Survey of the functions of body systems with respect to general cell physiology and specialization into tissues, structural contributions to tissue/organ physiology, pertinent concepts of biochemical physiology, tissue metabolism and energy/food requirements during stress and exercise, recent research into control and regulation of functions of major systems, physiologic limitations outside environmental ranges, and selected examples of pathophysiology.",CHM 123,CHM 124,HSS 305,BIO 151,BIO 152
HSS 305,"Human Anatomy","Study of the human body with emphasis on the interdependent relationships of structure and function.",CHM 123,CHM 123L,CHM 124,CHM 124L,BIO 151,BIO 151L,BIO 152,BIO 152L
HSS 321,"Essentials of Personal Training","To provide students with specific, real-world information regarding the knowledge, skills, and expectations associated with a competent personal trainer or fitness professional. Additionally, this course is designed to prepare students for the nationally accredited Certified Personal Trainer (CPT) certification exam.",HSS 305,BIO 475
HSS 320,"Essentials of Strength Conditioning","Course designed to prepare students for the certified strength and conditioning specialist (NSCA) exam. Topics included will pertain to muscular strength and endurance conditioning, physiology of strength conditioning, muscular strength testing and evaluation, and organization/administration of strength training programs."
HSS 331,"Sport Ethics","Study of the ethical decisions in sport and athletics, using case analysis and real world examples to assist future sport management professionals to develop a set of moral reasoning skills to self-evaluate, examine, and critically analyze ethical issues they will encounter in their professional careers."
HSS 330,"Leadership in Sport","As our society and industries adapt and reinvent themselves, especially in the sport (service) industry, there is a need for individuals within organizations to step up to the role of a leader, independent of their formal position. Therefore, the purpose of this course is for students to start (or continue) to develop their self-awareness, understanding, knowledge and practice of leadership."
HSS 335,"Introduction to Athletic Training","Application of principles and methods involved in prevention, care, and treatment of athletic injuries.",HSS 305
HSS 341,"Extreme Sports","No description available."
HSS 345,"Medical Evaluation & Terminology","Medical terminology related to physiological processes."
HSS 349,"Financing Sport Operations","The financial concepts and theories and their application in the professional intercollegiate, recreational and commercial sport industries. Topics include revenues and expenses of professional, intercollegiate, and private sport industries; issues affecting these revenues and expenses; fundraising at the intercollegiate level; ownership in sport; and public and private funding for non-profit sports programs."
HSS 350,"Business of Soccer","Study of international sport management issues through the perspective of European soccer with particular reference to professional soccer in England including the Premier League, Spain (La Liga), Italy (Serie A), Germany (Bundesliga), the UEFA Champions League, as well as major international governing bodies such as FIFA and UEFA."
HSS 354,"Sport in the Global Community","Analyze the growth and development of sport throughout the global community with an emphasis on the structure and organization of sport. Additionally the production of major sport events, such as the Olympics and World Cup Soccer Tournament, will be examined.",HSS 250
HSS 353,"Sports Media","This is the study and the appraisal of the media and the role that it plays in contemporary sports. Attention is also given to preparation and evaluation of media sports presentations."
HSS 358,"Sales & Fundraising in Sport","Examination and understanding of sales and fundraising techniques. Students will gain first-hand experience in developing new skills for the job market."
HSS 357,"Sports Marketing","Course content is designed to give students an understanding of marketing principles applied to sport, sport events, and sport products. Marketing strategies including the sales, promotions, and advertising of sport will be emphasized."
HSS 356,"Human Resources Management in Sport","This course is an overview of leadership and human resouce management. The course examines the techniques, policies, processes, strategies, and practices used by health-related and sport companies and managers to effectively and efficiently utilize human resources.",HSS 255
