MIL 478,"Honors Thesis Project","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and departmental chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",MIL 477
MIL 477,"Honors Thesis Project","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and departmental chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons."
MIL 302,"Leading Small Organizations II","Study of emplacement of communications equipment and weapons system. Application of small unit tactics, land navigation-terrain association, operations orders and roles of various branches of the Army. Physical training, leadership laboratory, social events, and field training exercises are mandatory."
MIL 301,"Leading Small Organizations I","Study of the methodology, qualities, and the development of leaders through a series of practical opportunities to lead small groups, receive personal assessments, encouragement, and lead again in situations of increasing complexity. Physical training, leadership laboratory, historical field trip, social events, and field training exercises are mandatory."
MIL 299,"Military Science Leadership Lab","This is an academically challenging course were you will study, practice, and apply the fundamentals of the Leadership, Officer Skills, Army Values and Ethics, Personal Development, and Tactics at the small unit level. This course includes reading assignments, homework assignments, small group assignments, briefings, case studies, and practical exercises."
MIL 478H,"Honors Thesis","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and departmental chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",MIL 477
MIL 477H,"Honors Thesis","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and departmental chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons."
MIL 402,"Applied Leadership & Management","Leadership and management studies in professionalism, ethics, and military justice. Various types of military correspondence and the responsibilities of an officer. Physical training, leadership laboratory, field training exercises, and social events are mandatory."
MIL 401,"Leadership Management & Staff","Study of military staff functions; how to conduct meetings, briefing, and training; how to conduct various types of counseling; and effective and ineffective leadership techniques. Physical training, leadership laboratory, historical field trip, social events, and field training exercises are mandatory."
MIL 412,"United States Military Today","This course will identify and discuss the roles, missions, organizational structure and equipment, tactical and strategic employment, and future trends of the Armed Services. Incorporates the background and experience of resident instructors and presentations by visiting service representatives."
MIL 411,"Limited War/Low Intensity Conflict","This course will identify and discuss the roles and mission of the branches found within the U.S. Army as they relate to limited war and low intensity conflicts. Historical examples of leadership in limited war/low intensity conflicts are identified and discussed. Incorporates the background and experience of resident instructors and presentations by visiting service representatives."
MIL 202,"Military Leadership","Interactive study of the fundamentals of military leadership, ethical decision-making, effective counseling techniques, and conflict resolution. Study of the role and branches of the US Army and the role of the commissioned, warrant, and noncommissioned officer. Optional participation in leadership laboratories, field training exercises, physical fitness training, and social events."
MIL 201,"Map Reading & Small Unit Tactics","Study of basic map reading skills, small unit tactics, movement techniques, weapons marksmanship orientation, and survival skills. Participation in leadership laboratory and two field training exercises. Optional physical training and social events."
MIL 102,"Leadership II","Rifle marksmanship, fundamentals and principles of leadership, management techniques for individual, group behavior and leadership dimensions. Optional physical training, leadership laboratory, and social events."
MIL 101,"Military Leadership I","ROTC programs and opportunities; rappelling, leadership, communications and management skills, and rifle marksmanship. Optional field trips, field exercises, physical training, leadership laboratory and social events."
