PAS 593,"Applied Patient Assessment IV ","Integrates information from previous modules. Using critical thinking, student groups will review, discuss patient cases, and then assimilate information to develop diagnosis and treatment plans. Module culminates with individual assessment using simulation."
PAS 590,"Principles of Care for the Surgical Patient","Population-based course dealing with basics needed for surgical patient. This course includes pre-operative evaluation, peri-and post-operative tenets of care for the surgical patient. Students will demonstrate suturing, gowning/gloving skills."
PAS 585,"Principles of Emergency Medicine ","Taught in a case-based format, this population-based module emphasizes stabilizing patients with life-threatening trauma or illness and selecting appropriate diagnostic and therapeutic measures. Students learn treatment of trauma and medical disorders commonly presenting to the emergency department and become Advanced Cardiac Life Support (ACLS), Pediatric Advances Life Support (PALS), and Basic Disaster Life Support (BDLS) certified."
PAS 580,"Principles of Mental Health ","Population-based module focusing on mental health issues. The course addresses etiology, epidemiology, clinical signs and symptoms, physical exam findings, diagnosis, treatment, and prognosis for significant psychiatric, behavioral medicine issues."
PAS 575,"Principles of Women’s Health Issues","Population-based module focusing on women’s issues. The course addresses etiology, epidemiology, clinical signs and symptoms, physical exam findings, diagnosis, treatment, and prognosis for significant issues in the female population."
PAS 570,"Principles of Pediatrics","Population-based module focusing on pediatric issues. The course addresses etiology, epidemiology, clinical signs and symptoms, physical exam findings, diagnosis, treatment, and prognosis for significant issues in the pediatric population."
PAS 568,"Applied Patient Assessment III ","Integrates information from previous modules. Using critical thinking, student groups will review, discuss patient cases, and then assimilate information to develop diagnosis and treatment plans. Module culminates with individual assessment using simulation."
PAS 565,"Principles of Geriatrics ","Population-based course dealing with social and medical problems specific to the geriatric age group. Topics will focus on techniques of communication in this age group, medical treatments specific to the elderly, and navigation through health care systems."
PAS 560,"Essentials of Dermatology","Systems-based module addressing anatomy, physiology, pathophysiology, history/physical examination skills, diagnostic studies, medical procedures, pharmacology, clinical medicine and surgical conditions involving the dermatological system presented in lecture and patient simulation format."
PAS 515,"Essentials of Infectious Disease ","Systems-based module addressing physiology, pathophysiology, diagnostic studies, pharmacology, clinical medicine and surgical conditions involving infectious diseases presented in lecture and patient simulation format."
PAS 510,"Essentials of Hematology/Oncology","Systems-based module addressing physiology, pathophysiology, diagnostic studies, medical procedures, pharmacology, clinical medicine, and surgical conditions involving the hematology system and common oncological conditions that is presented in lecture and patient simulation format."
