CJS 408,"Senior Seminar","Preparation for a criminal justice capstone experience. Students will explore vocational and career aspects of criminal justice and criminological disciplines. Required for Criminal Justice majors.",SOC 208,POL 207,PSY 217,SOC 305,SOC 305
CJS 347,"Senior Project Design","Preparation for the criminal justice capstone course with a focus on a workable research topic, literature review, and research methods design. Required for Criminal Justice majors.",SOC 208,POL 207,PSY 217,SOC 305
POL 214,"Introduction to International Politics","Analysis of the dynamic forces of conflict and cooperation in world politics."
POL 207,"Political Analysis","Introduction to the basic concepts and processes of research in political science."
POL 202,"Introduction to Comparative Politics","Analysis of major concepts and approaches in the study of comparative government and politics."
POL 201,"The American Political System","Study of the American political system, its attitudinal and constitutional base, its structure and processes."
POL 200,"Introduction to Political Science","Study of the dominant theoretical approaches, central questions and concepts, and history of political science. Political Science majors only."
SOC 426,"Leadership in Building Communities","Investigation of the processes by which urban neighborhoods develop themselves from the inside out. Students cultivate their own interdisciplinary appreciation of urban communities through extensive interaction with one neighborhood's visioning process. Topics include asset-based community development, social capital, citizenship, adaptive leadership, and community building strategies and tools. Same as POL 426.",POL 426
POL 371,"Environmental Policy","Examination of environmental public policymaking and implementation in the United States. Students will apply knowledge of government and policy processes to specific environmental issues, analyze governmental response, and consider how action on those issues may be pursued."
POL 365,"Disaster Policy & Administration","Exploration of policy approaches and administrative response strategies related to various phases of disasters and security crises in the U.S. and international settings with attention to human rights issues.",POL 201
POL 361,"Leadership in Nongovernmental Organizations","Examination of management skills required of professionals in various types of nongovernmental organizations (NGOs) and how leaders integrate agency values and management processes to promote rights-related missions. HRS and POL majors or minors only or permission of the department chairperson."
POL 360,"Urban Politics & Policy","Study of the nature of urban political systems in the U.S. with emphasis on explanation of differences in their policy responses."
POL 354,"Political Campaign Communication","Examination of theory and research on the role, processes and effects of communication in political campaigns with emphasis on mass media, public speaking, debates, advertising, and interpersonal communications.",CMM 100
POL 350,"Legislative Politics","Study of the U.S. Congress, its organization and procedures, and its powers and influence in the political system."
POL 341,"Power, Gender & Performance","Consideration of performances of identity and advocacy at the intersection of political power and gender as constructive responses to gender inequality. Performance protests for gender equality, and cultural performances of gender are examined in historical case studies and current events."
POL 340,"Gender & International Relations","An examination of feminist approaches to the study of international politics and the influence of gender roles on notions of international peace, security, power, development, democracy, human rights, transnational advocacy, and conflict resolution.",POL 214
POL 336,"United Nations System: Theory and Practice","Introduction to the United Nations system with detailed case studies of specific countries, issues, and policies. Course also serves to prepare students for participation in the National Model United Nations Conference.",SSC 200
POL 335,"United States National Security Policy","Analysis of various political, economic, and military issues and problems relating to U.S. national security."
