UDI 499,"Continuing Education","No description available."
UDI 233,"Sophomore Year Experience","No description available."
UDI 239,"Liturgical Music Practicum","Students will advance their studies of Catholic liturgical music through both classroom learning and practical experiences providing music in a mentored environment for a variety of campus liturgies."
UDI 238,"Liturgical Music Practicum","No description available."
UDI 247,"Introduction to Principles of Liturgy for Christian Musicians","This course provides liturgical background and knowledge for the new undergraduate music ministers who will be chosen by auditioning in spring 2015 and will be leading/ directing music at liturgies on campus. Enrollment is limited to those students who have completed the application process, auditioned and been accepted as undergraduate music ministers (called UGMMs for short). Selection will be in spring 2015."
UDI 244,"Comparative Legal History","The course seeks to provide a comparative perspective of the evolution of western legal systems from medieval times to XXIth Century both in private and Constitutional Law. Special emphasis will be provided to European Continental Tradition and Common Law system."
UDI 241,"Religious Studies: Explorations and Discoveries","The course allows Religious Studies majors and minors as well as those interested in learning more about the major to explore different facets of religious and theological studies as it relates to current events and issues, to form a community of learners, and explore vocation in relationship to their studies."
UDI 258,"Exploring Careers in Information Systems","This course is intended for students exploring their interest in being a major, minor, or double major in management information systems (MIS) in the business school. The course is designed to allow students to develop an understanding of career possibilities in MIS. The class focuses on introducing students to careers in information systems by providing opportunities to see, discuss, and experience what real information systems professionals and managers do. The course is comprised primarily of visits with MIS professionals, discussions, and experiences guided by leaders and professionals in the information systems field."
UDI 257,"Experiences in Operations & Supply Management","Designed to immerse students into the contemporary issues of operations management. The course is comprised entirely of site visits and guest lectures from operations management leaders. The class is limited to 15 students. The goal of the class is to introduce students to the field of operations management by providing the opportunity to see for themselves what real operations managers do. The course is open to all UD students, but priority is given to undergraduate business majors who are yet undecided as to their choice of major."
UDI 251,"U LD-Pear Academic Leadership","No description available."
UDI 250,"Exploring Everyday Techonology","No description available."
UDI 267,"Journey towards Global Citizenship","This course is offered only to GLLC residents in the fall 2015 semester. This course allows residents to engage in deeper intercultural experiences, learning more about themselves, each other, and how they can contribute more fully to the Global Learning Living Community experience and beyond. Students registered for this course will have the opportunity to explore culture in an experiential format and with other GLLC peers. Permission required."
UDI 265,"Christian Leadership Development","This course will prepare the Callings student leaders to be effective leaders for incoming students by providing lessons on leadership skills such as leading peers in small group discussion, handling conflict and working in diverse communities of faith and ethnicity. Students will also learn best practices for developing prayer experiences and reflection. The course will utilize best practices from campus ministry, pastoral ministry, service learning and other disciplines. The methodology of the course will include a retreat experience, classroom presentations and discussions readings from best practices documents, and develpment and applied practice of skills."
UDI 262,"Exploring Sustainability, Energy and Environment","This minicourse provides an exploration of sustainability, energy and environment (SEE) themes, people and organizations through a series of field trips. The course is designed for students in the SEE integrated learning-living community. It is also open to other students interested in SEE issues."
UDI 203,"Faith and Fitness","Christian theology holds true that humans are made in the image and likeness of God (imago Dei). This course will explore the relationship between healthy body image and Christian spirituality. Students afterwards will be confident to create reflections for our on campus faithFIT organization."
UDI 202,"Finanical Strategies for the Real World","Credit cards, car loans, 401(k) plans, retirement benefits, mortgages: As students, you may have never had to deal with any of these financial services. However, as soon-to-be college graduates, they are all just around the corner. This course is designed to teach students how to take care of their own finances by giving answers to all their financial questions. We will spend a great deal of time talking about healthy vs. unhealthy financial decisions and the rewards and consequences that come from these decisions. Class limit: 25."
UDI 201,"Catholic Spirituality and Prayer: It's All About Practice","What is prayer and how do I do it? Can prayers like the rosary really help me to grow spiritually? This course will explore different Catholic prayers by learning about a specific prayer style and practicing it as a class. Each session will be a formational, faith-sharing experience. Students will also have the opportunity to attend a half day retreat. This retreat is designed to help them to relax while taking intentional time to reflect upon and grow in their spiritually while exploring what it means to feel connected to the greater Catholic Church."
UDI 205,"Using Technology to Transform Learning","In this course, we will learn how to evaluate and use technologies for learning, with a special focus on mobile applications (e.g. Apps for iOS, Android, etc). This course includes class discussions and inquire-based activities and assignments to critically review various moblile applications for education and learning. Although not required, students are encouraged to provide their own mobile device."
