ANT 478,"Honors Thesis","Second of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",
MTH 568,"Coding Theory","The study of linear codes, Hamming and Golay codes, BCH codes, cyclic codes, random error detection and correction, burst-error correction, and decoding algorithms.",
ANT 477,"Honors Thesis","First of two courses leading to the selection, design, investigation, and completion of an independent, original Honors Thesis project under the guidance of a faculty research advisor. Restricted to students in the University Honors Program with permission of the program director and department chairperson. Students pursuing an interdisciplinary thesis topic may register for three semester hours each in two separate disciplines in consultation with the department chairpersons.",
PHY 108L,"Light & Color Laboratory","Laboratory experiences to accompany PHY 108. Corequisite(s): PHY 108.",PHY 108,PHY 108
MPA 551,"Introduction to Public Policy","This course is designed to introduce students to the study of public policy and public policymaking. The central concerns of the course involve competing models of the policy process, the policymaking process in the United States, the interplay between the political and economic systems in policymaking, and the processes of policy analysis and evaluation.",
MTH 565,"Linear Algebra","Vector spaces, linear transformations and matrices; determinants, inner product spaces, invariant direct-sum decomposition and the Jordan canonical form.",
MTH 567,"Combined Designs Theory","Latin squares, mutally orthogonal Latin squares, orthogonal and perpendicular arrays, Steiner triple systems, block designs, difference sets and finite geometries.",MTH 308
MTH 560,"Advanced Topics in Financial Mathematics","Advanced topics in financial mathematics including: stochastic processes with jumps, Monte-Carlo simulations for financial models, portfolio selection problems. Quantitative theories and computational methods are introduced and employed, and are applied to some applications in financial mathematics.",MTH 559
MTH 561,"Modern Algebra I","Groups, rings, integral domains and fields; extensions of rings and fields; polynomial rings and factorization theory in integral domains; modules and ideals.",
MTH 562,"Modern Algebra II","Finite and infinite field extensions, algebraic closure, constructible numbers and solvability by use of radicals, Galois theory, and selected advanced topics.",MTH 561
MTH 563,"Computational Finance","The purpose of this course is to introduce students to numerical methods and various financial problems that include portfolio optimization and derivatives valuation that can be tackled by numerical methods. Students will learn the basics of numerical analysis, optimization methods, monte carlo simulations and finite difference methods for solving PDEs.",MBA 620
MPA 556,"Environmental Policy","Examines environmental policymaking and implementation in the U.S. and analyzes government responses to particular environmental issues.",
MPA 555,"Selected Topics in Public Policy","Policy process, policy outcomes, and policy impact in an area or areas of public policy varying among such topics as transportation, education, welfare, national defense, science, civil rights, and urban and community development. May be repeated when topic changes.",
VAD 320,"Design Processes II","Advanced exploration into the use of computer technology as means and medium for the implementation, production, and presentation of graphic design. Print design and production, as well as commercial printing pre-press are emphasized with additional attention given to production for electronic design vehicles.",VAD 220,VAD 240,VAD 245
HSS 275,"History of Physical Education & Sport","Study of the historical development of physical education, sport, and associated disciplines as they relate to significant people and events in the history of Western civilization.",HST 103
IET 316,"Quantitative Analysis","Introduction of the mathematical techniques used to support decision making and managerial analysis. Probability theory, decision theory, linear programming, queuing theory, matrix algebra, differential and integral calculus, and differential equations.",MTH 138,MTH 168,MTH 207
IET 317,"Industrial Economic & Financial Analysis","Comparison of manufacturing or service industry projects and investments based on their economic value. Quantification of costs and benefits; analysis using present worth, annual worth, and rate of return methods. Study of simple and compound interest. Basic financial accounting concepts, including balance sheets, income statements, change of financial condition, etc.",MTH 137
IET 318,"Statistical Process Control","Statistics and probability theory applied to produce control charts (x-bar, R, s, p, u, and c) to monitor processes. Interpretation and application of these charts. Problem solving techniques, Pareto analysis, and modern quality management techniques.",MTH 207
IET 319,"Quality Improvement Methods","Study of problem-solving methodologies and techniques. Team development. Students will learn to use Pareto diagrams, force field analysis, cause and effect diagrams, process mapping, and other problem-solving tools. Quality costs, product liability, and ethics are also covered.",IET 318
MTH 575,"Differential Geometry","Vector and tensor algebra; covariant differentiation. An introduction to the classical theory of curves and surfaces treated by means of vector and tensor analysis.",
MPA 540,"Public Sector Human Resource Management","Broad-based study of people management ranging from the development and integration of organizational policy, through the many personnel administrative processes, and the human and regulatory aspects affecting the contemporary public sector workforce.",
MTH 571,"Topology","An axiomatic treatment of the concept of a topological space; bases and subbases; connectedness, compactness; continuity, homeomorphisms, separation axioms and countability axioms; convergence in topological spaces.",
MTH 572,"Topology II","Compactification theory, para-compactness and metrizability theorems, uniform spaces, function spaces, and other advanced topics of current interest.",MTH 571
MTH 573,"Functional Analysis","The study of linear metric spaces with emphasis on Banach and Hilbert spaces. The Hahn-Banach theorem, the Banach fixed point theorem, and their consequences. Approximations and other selected advanced topics.",
HSS 285,"Sport Management Field Experience","This experience is done after completion of HSS 255. 150 clock hours need to be completed for the 3 semester hour experience.",HSS 255
SEE 303,"Constructions of Place","Multidisciplinary, arts-based course that explores the complex connections between our sense of place and the physical and environmental conditions that influence landscapes and communities.",
SEE 301,"Global Change & Earth Systems","Multidisciplinary introduction to the science of the earth system. Focus is on the interrelatedness of geological, biological, chemical and physical processes, and on methods used to understand both the past natural history and potential future scenarios for change in the earth system.",
ANT 498,"Independent Study","Research problems or readings of special interest investigated under the guidance of an anthropology staff member.",
ANT 497,"Service Learning Experience","Supervised community research or service experience that complements a specific upper division course in Anthropology. Repeatable up to three semester hours.",
ENG 205,"Major World Writers","Study (in translation) of four or five writers representative of the principal periods in (chiefly Western world) literature, exclusive of English and American literature.",ENG 100,ENG 100B,ENG 200H,ASI 110
ENG 204,"Major American Writers","Study of four or five writers representative of the principal periods in American literature.",ENG 100,ENG 100B,ENG 200H,ASI 110
ECO 204,"Principles of Macroeconomics","Introductory economic analysis of the macroeconomy; the determination of gross national product, employment, inflation and the interest rate in the U.S. economy. Government policy, money and banking, and international trade are analyzed.",
ENG 203,"Major British Writers","Study of four or five writers representative of the principal periods in English literature.",ENG 100,ENG 100B,ENG 200H,ASI 110
MTH 582,"Vector & Tensor Analysis","The differential and integral calculus of scalar and vector fields with emphasis on properties invariant under transformations to curvilinear coordinate systems. An introduction to tensor analysis via Cartesian tensors and then more general tensors. Derivation of the divergence, gradient, and curl in generalized coordinates.",MTH 218,MTH 302
ECO 203,"Principles of Microeconomics","An introduction to consumer and producer behavior in a market economy, demand and supply, pricing and firm behavior under perfect and imperfect competition, and the distribution of income. Discussion of current topics in microeconomics may be included.",
MTH 583,"Discrete & Continuous Fourier Analysis","Fourier representations of complex-valued functions, rules for finding Fourier transforms, mathematical operators associated with Fourier analysis, fast algorithms, wavelet analysis, selected applications.",MTH 219,MTH 302
THR 425,"Theatre Theory & History","Seminar course that examines theatre and performance with texts that hybridize conventional theatre history and performance studies with emphases on international performance history and cultural studies/theories. This course considers historical, theoretical and play texts, in order to further the student's understanding of the application of theory to the practice and history of theatre. Plays are critically examined as primary sources informing theatrical historiography.",THR 105,HST 103
ENG 200,"Writing Seminar II","Variable topic composition course focused on academic discourse, research, and argumentation. Instruction and practice in developing reading, writing, and research skills introduced in ENG 100 and employed across the curriculum. Emphasis on rhetorical analysis and a process approach to writing effective academic arguments. Students must pass the course with a grade of C- or higher to satisfy College of Arts and Sciences' composition competency requirement.",ENG 100,ENG 100,ENG 100B
THR 424,"Directing","Study of the evolution of the modern director. Script interpretation as a basis for the development and execution of the production concept, directing for devised works, and experiential learning with practical directing experience in class may be covered.",THR 310
HSS 295,"Nutrition & Health","Study of the nutrient needs of humans and of their choices as modified by socioeconomic, cultural, and life cycle factors. Sophomore standing.",
MPA 530,"Public Budgeting","Study of governmental expenditures and revenues, budgetary and financial reporting, fiscal policy, and other areas of fiscal management, with emphasis on current practices and problems.",
IET 323,"Project Management","Study of the structure, techniques, and application of project management including project proposals, project plans, decision making, styles of management, and communications. Semester team project with written and oral presentations.",
IET 320,"Quality Assurance Techniques","Students will be exposed to a variety of current quality assurance topics that companies use to improve quality, increase productivity, and reduce costs. Topics include: total preventive maintenance, quality function deployment, reliability engineering, design of experiments, and sample size selection.",IET 318,MTH 207
VAD 345,"Typography II","The advanced study of typographic design. Attention to the aesthetic and informational qualities of type in print and electronic communication.",VAD 245
IET 321,"Quality Management","Provides students with an understanding of managing a total quality environment to improve quality, increase productivity and reduce costs. An introduction to Deming, Juran, and others. Total Quality Management implementation strategies, requirements of ISO 9000, QS 9000, and the Malcolm Baldrige award will be covered.",IET 318,MTH 207
FIN 401,"Finance Capstone: Advanced Financial Analysis","This course creates a capstone experience for finance majors interested in pursuing a career in corporate finance. Topics introduced in FIN301 and FIN360 (prerequisites) as well as in Accounting 207 and Economics 203 and 204, are integrated into the financial analysis required to successfully play the simulation FinGame5.0. Students run a single product firm and must analyze current and estimated quarterly data to make decisions about capital budgeting proposals (efficiency projects as well as capital expansion); production scheduling; product pricing; dividend policy; capital structure; and short term financing.",FIN 360
FIN 402,"Mergers, Acquisitions, Capital Restructuring & Corporate Governance","In depth study of company valuation techniques and the influence of the governance structure - the CEO, President, and the Board of Directors - on company value.",FIN 360
THR 417,"Theatre in Education","Theories and practices of educational drama and theatre as applied to the language arts. Attention given to the integration of creative drama and applied theatre practices to support speaking, thinking, writing, and reading. Co-curricular and experiential immersion required.",
EDT 550L,"Integrated Language Arts Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching integrated language arts to students in grades seven to 12.",
ENG 210,"Poetry","Study of representative examples of a major literary genre.",ENG 100,ENG 100B,ENG 200H,ASI 110
MPA 526,"Leadership in Building Communities","Seminar class where teams are formed to learn about the processes of building a neighborhood and recommending supportive public policy and other strategic interventions. Participants will be encouraged to refine their notions of community and leadership and to recommend strategies which capitalize on neighborhood assets, improve outcomes, and build community.",
MTH 590,"Topics in Mathematics","This course, given upon appropriate occasions, deals with specialized material not covered in the regular courses. May be taken more than once as topics change.",
MPA 524,"Ethics in Public Administration","This course stimulates an awareness of the moral dimension of public sector problems and decision making contexts. It provides students the tools and techniques they can use to meet demands for ethical judgments and decisive action in their public management careers.",
BIZ 400,"Dean's Leadership Lab","Dean's Leadership Lab.",
MPA 520,"Organization Theory","Survey of current literature and research on the theory of complex organizations. Rationality in decision making; problems of authority; behavioral, political, and technical influences on organization.",
VAD 351,"Motion Design","Exploration of the generation and application of motion in visual communication. This course builds on graphic design form, methods, technique, and principles to generate dynamic messaging using type, sound, image, and animation. While the computer and appropriate applications are primary tools, hand generated methods for concept and storyboarding are stressed as well.",VAD 220,VAD 240,VAD 245,VAD 320
VAD 355,"Interaction Design","Investigation of the use of interactivity as applied to the digital and analog landscape. Focus on the design of richly interactive interfaces for current and emerging media (computers, mobile, touch etc.). While some emphasis is on the development and implementation of design vehicles, decided attention is paid to concept and visual effectiveness.",VAD 220,VAD 240,VAD 245,VAD 320
IET 332,"Facilities Layout Design","Design of manufacturing and service facilities for the most efficient flow of raw materials, work-in-process, and completed stock through a work place. Facilities layout, material handling, and warehousing in relation to trends toward reduced inventory, smaller lot sizes, and just-in-time.",MCT 110L
CHM 201L,"Quantitative Analysis Laboratory","Course to accompany CHM 201. One three-hour laboratory period each week.",CHM 201
ECE 503,"Random Processes","Random variables as applied to system theory, communications, signal processing and controls. Topics include advanced engineering probability, random variables, random vectors and an introduction to random processes. Required background: ECE 340 or equivalent.",ECE 340
ECE 500,"Introduction to the Graduate Program in Electrical and Computer Engineering","Introduction to ECE graduate program, research methods in ECE, technical writing, literature research, ethics, software.",
ECE 501,"Contemporary Digital Systems","Introduction to sequential logic; state machines; high-performance digital systems: theory and application of modern design; alternative implementation forms and introduction to HDL; productivity, recurring and non-recurring costs, flexibility, and testability; software drivers; hardware/software integration; finite state machines. Required background: ECE 215 or equivalent.",ECE 215
MTH 525,"Complex Variables I","Analytic functions, integration on paths, the general Cauchy theorem. Singularities, residues, inverse functions and other applications of the Cauchy theory.",
MTH 526,"Complex Variables II","Infinite products, entire functions, the Riemann mapping theorem and other topics as time permits.",MTH 525
MTH 527,"Biostatistics","Introduction to statistical concepts and skills including probability theory and estimation, hypothesis tests of means and proportions for one or two samples using normal or t-distributions, regression and correlation, one- and two-way ANOVA, selected nonparametric tests.",MTH 149,MTH 169
MTH 520,"Statistical Inference","Sample spaces, Borel fields, random variables, distribution theory, characteristic functions, exponential families, minimax and Bayes' procedures, sufficiency, efficiency, Rao-Blackwell theorem, Neyman-Pearson lemma, uniformly most powerful tests, multi-variate normal distributions.",
MPA 595,"Government Internship","Assignment to appropriate government agencies or units for the purpose of gaining wide experience with the administrative system through a program of work experiences. Internship includes a related academic requirement.",
MTH 521,"Real Analysis and Applications","Introduction to topology of n-dimensional space, properties of sequences and series of functions, metric spaces and Banach spaces, contraction mapping principle, applications to fixed point theory, applications to successive approximations and implicit functions.",
MTH 522,"Real Variables","The topology of the real line, continuity and differentiability, Riemann and Stieltjes integrals, Lebesgue measure and Lebesgue integral. Measure and integration over abstract spaces, Lp-spaces, signed measures, Jordan-Hahn decomposition, Radon-Nikodym theorem, Riesz representation theorem, and Fourier series.",
MPA 593,"Independent Study in Public Administration","Intensive independent research under the direction of a faculty member. Research paper. May be repeated when topic changes. Prior approval of formal project proposal required.",
MPA 591,"Seminar in Public Administration","No description available.",
EDT 551L,"Integrated Social Studies Methods for Adolescence to Young Adult Laboratory","This course consists of planned field experiences providing candidates the opportunity for field reflections in regard to teaching integrated social studies to students in grades seven to 12.",
ENG 220,"Foundations of Textual Analysis & Research","Introduction to the skills and habits of reading, writing, textual analysis and research that are central to the discipline of English.",ENG 100,ENG 100B,ENG 200H,ASI 110
MPA 599,"Public Administration Capstone","Seminar course integrating professional development, critical analysis of current topics and trends, finalization of student portfolio, reflective essay, and integrative presentation to faculty panel. Corequisite(s): may be taken with MPA 511.",MPA 511
